"Publisher";"NA_Sales";"EU_Sales";"JP_Sales";"Other_Sales"
Storm City Games;19.0;19.0;19.0;19.0
Xplosiv;10.0;10.0;10.0;10.0
Daito;4.0;4.0;4.0;4.0
Max Five;1.0;1.0;1.0;1.0
Pinnacle;5.0;5.0;5.0;5.0
Data East;2.0;2.0;2.0;2.0
Focus Multimedia;3.0;3.0;3.0;3.0
Aqua Plus;23.0;23.0;23.0;23.0
Rising Star Games;86.0;86.0;86.0;86.0
Culture Brain;4.0;4.0;4.0;4.0
Stainless Games;1.0;1.0;1.0;1.0
Ongakukan;1.0;1.0;1.0;1.0
Hearty Robin;1.0;1.0;1.0;1.0
Riverhillsoft;1.0;1.0;1.0;1.0
Sonnet;2.0;2.0;2.0;2.0
GungHo;13.0;13.0;13.0;13.0
GSP;16.0;16.0;16.0;16.0
Mud Duck Productions;3.0;3.0;3.0;3.0
P2 Games;3.0;3.0;3.0;3.0
LucasArts;90.0;90.0;90.0;90.0
Red Orb;2.0;2.0;2.0;2.0
Acquire;13.0;13.0;13.0;13.0
"5pb";43.0;43.0;43.0;43.0
Happinet;5.0;5.0;5.0;5.0
Seta Corporation;6.0;6.0;6.0;6.0
Virtual Play Games;2.0;2.0;2.0;2.0
Jack of All Games;3.0;3.0;3.0;3.0
Astragon;6.0;6.0;6.0;6.0
Lexicon Entertainment;2.0;2.0;2.0;2.0
Magical Company;1.0;1.0;1.0;1.0
NovaLogic;3.0;3.0;3.0;3.0
Detn8 Games;1.0;1.0;1.0;1.0
Parker Bros.;7.0;7.0;7.0;7.0
Game Life;2.0;2.0;2.0;2.0
MLB.com;1.0;1.0;1.0;1.0
Microids;10.0;10.0;10.0;10.0
Slightly Mad Studios;3.0;3.0;3.0;3.0
Eidos Interactive;198.0;198.0;198.0;198.0
Victor Interactive;9.0;9.0;9.0;9.0
Sting;9.0;9.0;9.0;9.0
Mentor Interactive;5.0;5.0;5.0;5.0
Human Entertainment;13.0;13.0;13.0;13.0
Idea Factory;129.0;129.0;129.0;129.0
Blue Byte;2.0;2.0;2.0;2.0
Hamster Corporation;2.0;2.0;2.0;2.0
Microprose;6.0;6.0;6.0;6.0
Ignition Entertainment;61.0;61.0;61.0;61.0
Hip Interactive;5.0;5.0;5.0;5.0
Rain Games;1.0;1.0;1.0;1.0
Atlus;67.0;67.0;67.0;67.0
TopWare Interactive;4.0;4.0;4.0;4.0
Pack-In-Video;2.0;2.0;2.0;2.0
Nordcurrent;5.0;5.0;5.0;5.0
Palcom;1.0;1.0;1.0;1.0
GameTek;1.0;1.0;1.0;1.0
Devolver Digital;2.0;2.0;2.0;2.0
Legacy Interactive;1.0;1.0;1.0;1.0
Merscom LLC;1.0;1.0;1.0;1.0
Square;6.0;6.0;6.0;6.0
Ascaron Entertainment;1.0;1.0;1.0;1.0
Electronic Arts Victor;2.0;2.0;2.0;2.0
TechnoSoft;1.0;1.0;1.0;1.0
Nippon Telenet;2.0;2.0;2.0;2.0
Cloud Imperium Games Corporation;2.0;2.0;2.0;2.0
Imadio;1.0;1.0;1.0;1.0
bitComposer Games;5.0;5.0;5.0;5.0
Aria;1.0;1.0;1.0;1.0
Idea Factory International;4.0;4.0;4.0;4.0
Giga;1.0;1.0;1.0;1.0
NCS;3.0;3.0;3.0;3.0
Sony Computer Entertainment;683.0;683.0;683.0;683.0
Nihon Falcom Corporation;7.0;7.0;7.0;7.0
Laguna;4.0;4.0;4.0;4.0
Team17 Software;1.0;1.0;1.0;1.0
Imageworks;1.0;1.0;1.0;1.0
Xicat Interactive;3.0;3.0;3.0;3.0
Valve;1.0;1.0;1.0;1.0
Red Storm Entertainment;3.0;3.0;3.0;3.0
Rage Software;7.0;7.0;7.0;7.0
Vir2L Studios;3.0;3.0;3.0;3.0
Elite;1.0;1.0;1.0;1.0
Enterbrain;15.0;15.0;15.0;15.0
Little Orbit;26.0;26.0;26.0;26.0
SNK;22.0;22.0;22.0;22.0
HAL Laboratory;1.0;1.0;1.0;1.0
Sony Online Entertainment;8.0;8.0;8.0;8.0
Easy Interactive;2.0;2.0;2.0;2.0
Tradewest;3.0;3.0;3.0;3.0
Global Star;39.0;39.0;39.0;39.0
Black Label Games;1.0;1.0;1.0;1.0
PQube;35.0;35.0;35.0;35.0
Introversion Software;1.0;1.0;1.0;1.0
HuneX;2.0;2.0;2.0;2.0
ESP;5.0;5.0;5.0;5.0
Sunrise Interactive;4.0;4.0;4.0;4.0
Agatsuma Entertainment;3.0;3.0;3.0;3.0
ArtDink;9.0;9.0;9.0;9.0
Evolution Games;1.0;1.0;1.0;1.0
General Entertainment;1.0;1.0;1.0;1.0
Grand Prix Games;1.0;1.0;1.0;1.0
G.Rev;2.0;2.0;2.0;2.0
Nippon Amuse;1.0;1.0;1.0;1.0
MC2 Entertainment;3.0;3.0;3.0;3.0
NEC;3.0;3.0;3.0;3.0
Phantom EFX;1.0;1.0;1.0;1.0
Sold Out;1.0;1.0;1.0;1.0
Iceberg Interactive;3.0;3.0;3.0;3.0
Data Design Interactive;3.0;3.0;3.0;3.0
Imagic;4.0;4.0;4.0;4.0
NEC Interchannel;8.0;8.0;8.0;8.0
Revolution (Japan);1.0;1.0;1.0;1.0
New;1.0;1.0;1.0;1.0
"989 Studios";14.0;14.0;14.0;14.0
Dorart;2.0;2.0;2.0;2.0
Warashi;1.0;1.0;1.0;1.0
Extreme Entertainment Group;1.0;1.0;1.0;1.0
UIG Entertainment;1.0;1.0;1.0;1.0
Excalibur Publishing;4.0;4.0;4.0;4.0
Trion Worlds;4.0;4.0;4.0;4.0
Magix;2.0;2.0;2.0;2.0
Kemco;21.0;21.0;21.0;21.0
Nichibutsu;1.0;1.0;1.0;1.0
Aksys Games;8.0;8.0;8.0;8.0
Falcom Corporation;16.0;16.0;16.0;16.0
SPS;1.0;1.0;1.0;1.0
PopCap Games;15.0;15.0;15.0;15.0
Starfish;10.0;10.0;10.0;10.0
On Demand;1.0;1.0;1.0;1.0
Xseed Games;4.0;4.0;4.0;4.0
Locus;1.0;1.0;1.0;1.0
Data Age;2.0;2.0;2.0;2.0
Flight-Plan;2.0;2.0;2.0;2.0
Nitroplus;2.0;2.0;2.0;2.0
Time Warner Interactive;5.0;5.0;5.0;5.0
Zoo Digital Publishing;104.0;104.0;104.0;104.0
Sunflowers;1.0;1.0;1.0;1.0
Codemasters Online;1.0;1.0;1.0;1.0
Imagineer;16.0;16.0;16.0;16.0
Aspyr;8.0;8.0;8.0;8.0
Pack In Soft;1.0;1.0;1.0;1.0
BPS;2.0;2.0;2.0;2.0
Maxis;3.0;3.0;3.0;3.0
Phenomedia;4.0;4.0;4.0;4.0
TDK Core;5.0;5.0;5.0;5.0
Compile;6.0;6.0;6.0;6.0
FuRyu Corporation;1.0;1.0;1.0;1.0
Pony Canyon;1.0;1.0;1.0;1.0
O3 Entertainment;3.0;3.0;3.0;3.0
Seventh Chord;1.0;1.0;1.0;1.0
Funcom;2.0;2.0;2.0;2.0
Level 5;27.0;27.0;27.0;27.0
Sony Computer Entertainment Europe;15.0;15.0;15.0;15.0
Kokopeli Digital Studios;1.0;1.0;1.0;1.0
Marvel Entertainment;1.0;1.0;1.0;1.0
Aruze Corp;3.0;3.0;3.0;3.0
SSI;1.0;1.0;1.0;1.0
IE Institute;5.0;5.0;5.0;5.0
Sears;1.0;1.0;1.0;1.0
Comfort;6.0;6.0;6.0;6.0
The Adventure Company;5.0;5.0;5.0;5.0
Kando Games;1.0;1.0;1.0;1.0
Number None;1.0;1.0;1.0;1.0
Virgin Interactive;62.0;62.0;62.0;62.0
Zushi Games;18.0;18.0;18.0;18.0
Pacific Century Cyber Works;1.0;1.0;1.0;1.0
Edia;2.0;2.0;2.0;2.0
Image Epoch;1.0;1.0;1.0;1.0
WayForward Technologies;1.0;1.0;1.0;1.0
Valve Software;3.0;3.0;3.0;3.0
Tetris Online;1.0;1.0;1.0;1.0
Revolution Software;2.0;2.0;2.0;2.0
Myelin Media;3.0;3.0;3.0;3.0
Her Interactive;1.0;1.0;1.0;1.0
MediaQuest;1.0;1.0;1.0;1.0
Kids Station;1.0;1.0;1.0;1.0
Agetec;8.0;8.0;8.0;8.0
Tru Blu Entertainment;8.0;8.0;8.0;8.0
Square Enix;233.0;233.0;233.0;233.0
Mastertronic;13.0;13.0;13.0;13.0
Koch Media;17.0;17.0;17.0;17.0
Jorudan;3.0;3.0;3.0;3.0
Crystal Dynamics;5.0;5.0;5.0;5.0
Coconuts Japan;2.0;2.0;2.0;2.0
White Park Bay Software;1.0;1.0;1.0;1.0
Performance Designed Products;2.0;2.0;2.0;2.0
Type-Moon;1.0;1.0;1.0;1.0
Asmik Corp;2.0;2.0;2.0;2.0
Jaleco;23.0;23.0;23.0;23.0
